iter	RMSE
0	0.746950865
1	0.7028942443
2	0.6609595513
3	0.6223374324
4	0.5863194015
5	0.5539611777
6	0.5234996337
7	0.495334013
8	0.4694933163
9	0.4467372687
10	0.4247114168
11	0.4051878937
12	0.3864453955
13	0.3699470397
14	0.3548486912
15	0.3411681868
16	0.3293353105
17	0.3178082454
18	0.3077495125
19	0.2986190721
20	0.2903813384
21	0.2827656694
22	0.2758759292
23	0.270027449
24	0.2644716062
25	0.2595756486
26	0.2552527629
27	0.2514996271
28	0.2481715552
29	0.2450340855
30	0.2421614181
31	0.2397897713
32	0.2374575979
33	0.2354206546
34	0.2338187074
35	0.2322609545
36	0.2305503893
37	0.2289119341
38	0.2276141624
39	0.2261973242
40	0.2249339039
41	0.2238406588
42	0.2229082846
43	0.2221184642
44	0.2213685859
45	0.2206904516
46	0.2199351472
47	0.2192450695
48	0.218591317
49	0.2181355438
50	0.2176802317
51	0.2172742473
52	0.2168286781
53	0.2164762909
54	0.2161394972
55	0.2158878986
56	0.2154740117
57	0.2151917103
58	0.2149628388
59	0.2146681994
60	0.2143743525
61	0.2141213813
62	0.2139152327
63	0.2136263074
64	0.2133628699
65	0.2131455938
66	0.212995939
67	0.2128237329
68	0.2126789342
69	0.2124755574
70	0.2122730851
71	0.2121469063
72	0.2120011603
73	0.211703185
74	0.2114844338
75	0.2113540199
76	0.2112189987
77	0.210956513
78	0.2106863466
79	0.2106100927
80	0.2105003759
81	0.2103599139
82	0.210248736
83	0.2099470994
84	0.2098510572
85	0.2097356741
86	0.2096366551
87	0.209454744
88	0.2093650476
89	0.2092595264
90	0.2091083532
91	0.2090514716
92	0.2088536864
93	0.2087677198
94	0.2086523025
95	0.2085475967
96	0.2082756498
97	0.2081183255
98	0.2078745045
99	0.207746484
100	0.2076577411
101	0.2075860787
102	0.2073528498
103	0.207214575
104	0.2070896259
105	0.2070002488
106	0.2068806359
107	0.2067557495
108	0.2065846087
109	0.2064857975
110	0.2063681205
111	0.206163264
112	0.2060558005
113	0.2060073247
114	0.2059312094
115	0.2058144481
116	0.2055170567
117	0.2054157257
118	0.2053783446
119	0.2051559196
120	0.2050328319
121	0.2049695098
122	0.2048678911
123	0.2048503566
124	0.2046289934
125	0.2045071756
126	0.2042948401
127	0.2041869181
128	0.2041377278
129	0.2038909303
130	0.2036070523
131	0.2035461366
132	0.2033251985
133	0.2030508058
134	0.2029358446
135	0.2027128407
136	0.2026231059
137	0.202508967
138	0.2024940275
139	0.2024398861
140	0.2022740183
141	0.2021590607
142	0.202122418
143	0.2020731716
144	0.2017871497
145	0.201724708
146	0.201577348
147	0.2014210162
148	0.2013997585
149	0.201368543
150	0.2013193893
