iter	Passed	Remaining
348	51248	95595
349	51393	95444
350	51537	95293
351	51688	95154
352	51836	95009
353	51998	94889
354	52132	94720
355	52290	94592
356	52424	94423
357	52576	94284
358	52703	94103
359	52841	93940
360	52986	93789
361	53127	93632
362	53264	93470
363	53418	93334
364	53554	93170
365	53703	93027
366	53860	92897
367	54034	92798
368	54175	92642
369	54322	92494
370	54449	92313
371	54580	92140
372	54705	91957
373	54859	91824
374	54976	91626
375	55110	91459
376	55227	91264
377	55385	91136
378	55523	90977
379	55663	90819
380	55793	90646
381	55941	90502
382	56070	90327
383	56217	90182
384	56375	90053
385	56546	89946
386	56729	89858
387	56924	89788
388	57070	89640
389	57256	89554
390	57418	89431
391	57563	89282
392	57705	89128
393	57868	89005
394	57995	88828
395	58169	88723
396	58319	88581
397	58466	88433
398	58600	88268
399	58749	88123
400	58892	87971
401	59053	87845
402	59179	87668
403	59324	87518
404	59461	87357
405	59623	87232
406	59766	87079
407	59910	86929
408	60041	86758
409	60192	86618
410	60333	86463
411	60468	86300
412	60599	86130
413	60744	85981
414	60882	85822
415	61025	85670
416	61162	85510
417	61326	85387
418	61450	85209
419	61595	85060
420	61762	84941
421	61918	84808
422	62029	84612
423	62159	84443
424	62291	84277
425	62441	84134
426	62556	83946
427	62684	83774
428	62807	83596
429	62949	83445
430	63093	83295
431	63263	83179
432	63413	83038
433	63551	82880
434	63683	82715
435	63829	82569
436	63963	82406
437	64111	82261
438	64243	82097
439	64372	81928
440	64503	81762
441	64662	81632
442	64782	81453
443	64937	81318
444	65074	81160
445	65205	80994
446	65346	80843
447	65484	80686
448	65632	80542
449	65767	80382
450	65898	80217
451	66037	80063
452	66170	79900
453	66315	79753
454	66459	79605
455	66613	79469
456	66739	79298
457	66853	79114
458	66986	78953
459	67129	78803
460	67286	78671
461	67414	78504
462	67526	78318
463	67654	78152
464	67784	77988
465	67966	77884
466	68103	77728
467	68231	77562
468	68352	77388
469	68498	77242
470	68618	77068
471	68739	76894
472	68870	76733
473	69020	76592
474	69171	76453
475	69304	76293
476	69441	76138
477	69595	76001
478	69715	75828
479	69878	75701
480	70032	75564
481	70175	75416
482	70304	75253
483	70451	75109
484	70565	74930
485	70703	74776
486	70827	74608
487	70976	74467
488	71114	74313
489	71259	74167
490	71381	73998
491	71538	73864
492	71662	73697
493	71799	73543
494	71930	73383
495	72078	73241
496	72208	73080
497	72347	72928
498	72472	72763
499	72591	72591
500	72745	72455
501	72887	72307
502	73013	72142
503	73148	71987
504	73297	71845
505	73451	71709
506	73610	71578
507	73743	71420
508	73894	71281
509	74034	71131
510	74165	70972
511	74321	70837
512	74469	70695
513	74616	70551
514	74764	70408
515	74902	70257
516	75023	70089
517	75157	69934
518	75276	69765
519	75406	69606
520	75537	69448
521	75660	69283
522	75826	69157
523	75968	69009
524	76097	68850
525	76256	68718
526	76380	68554
527	76530	68413
528	76672	68266
529	76833	68135
530	76962	67975
531	77117	67839
532	77255	67689
533	77383	67529
534	77518	67375
535	77659	67227
536	77778	67060
537	77915	66908
538	78060	66763
539	78214	66627
540	78341	66467
541	78472	66310
542	78627	66174
543	78754	66014
544	78868	65844
545	79027	65711
546	79150	65549
547	79309	65415
548	79438	65257
549	79558	65093
550	79692	64939
551	79830	64790
552	79968	64640
553	80087	64474
554	80202	64306
555	80339	64155
556	80476	64005
557	80614	63855
558	80750	63704
559	80892	63558
560	81030	63408
561	81274	63342
562	81427	63204
563	81569	63057
564	81707	62907
565	81835	62750
566	81966	62595
567	82129	62464
568	82274	62320
569	82430	62184
570	82578	62042
571	82733	61905
572	82888	61768
573	83028	61620
574	83176	61478
575	83297	61316
576	83413	61150
577	83550	61000
578	83686	60849
579	83828	60703
580	83970	60557
581	84117	60414
582	84249	60260
583	84408	60126
584	84559	59986
585	84691	59833
586	84813	59672
587	84946	59520
588	85085	59372
589	85239	59234
590	85390	59094
591	85532	58947
592	85672	58800
593	85830	58665
594	85963	58512
595	86104	58366
596	86250	58222
597	86417	58093
598	86556	57945
599	86724	57816
600	86854	57662
601	87004	57521
602	87140	57371
603	87287	57228
604	87439	57088
605	87585	56945
606	87713	56789
607	87836	56631
608	87967	56478
609	88085	56317
610	88266	56196
611	88397	56042
612	88518	55883
613	88645	55728
614	88801	55591
615	88939	55442
616	89056	55281
617	89213	55145
618	89361	55002
619	89514	54863
620	89645	54711
621	89765	54552
622	89897	54400
623	90029	54248
624	90177	54106
625	90301	53950
626	90465	53817
627	90610	53673
628	90743	53522
629	90889	53379
630	91030	53233
631	91187	53096
632	91324	52948
633	91468	52803
634	91618	52662
635	91783	52530
636	91903	52371
637	92033	52219
638	92164	52068
639	92324	51932
640	92476	51792
641	92651	51665
642	92794	51520
643	92934	51373
644	93087	51234
645	93255	51102
646	93374	50944
647	93531	50807
648	93675	50662
649	93832	50525
650	93961	50372
651	94099	50224
652	94235	50075
653	94387	49935
654	94496	49772
655	94624	49620
656	94767	49475
657	94925	49338
658	95054	49185
659	95183	49033
660	95316	48884
661	95422	48720
662	95583	48584
663	95717	48435
664	95878	48299
665	96040	48164
666	96183	48019
667	96318	47870
668	96476	47733
669	96607	47582
670	96747	47436
671	96872	47283
672	97010	47135
673	97160	46994
674	97306	46851
675	97438	46701
676	97563	46548
677	97715	46407
678	97855	46261
679	97995	46115
680	98134	45968
681	98287	45829
682	98396	45668
683	98512	45511
684	98669	45373
685	98812	45229
686	98951	45082
687	99075	44929
688	99198	44776
689	99333	44628
690	99463	44477
691	99600	44330
692	99720	44176
693	99850	44026
694	100016	43892
695	100193	43762
696	100324	43613
697	100487	43477
698	100637	43335
699	100803	43201
700	100942	43055
701	101074	42906
702	101189	42749
703	101329	42604
704	101447	42449
705	101598	42308
706	101732	42160
707	101858	42009
708	101974	41854
709	102106	41705
710	102255	41563
711	102403	41421
712	102531	41271
713	102659	41121
714	102782	40969
715	102935	40829
716	103068	40681
717	103214	40538
718	103337	40386
719	103492	40247
720	103607	40092
721	103730	39940
722	103865	39793
723	104014	39652
724	104187	39519
725	104316	39370
726	104461	39226
727	104616	39087
728	104738	38935
729	104875	38789
730	105011	38642
731	105173	38506
732	105300	38356
733	105436	38209
734	105579	38066
735	105746	37930
736	105875	37782
737	106019	37638
738	106163	37494
739	106331	37359
740	106471	37214
741	106584	37060
742	106717	36913
743	106872	36773
744	106989	36620
745	107151	36483
746	107273	36332
747	107428	36192
748	107570	36048
749	107715	35905
750	107854	35760
751	107982	35611
752	108127	35467
753	108280	35327
754	108428	35185
755	108559	35037
756	108680	34886
757	108814	34740
758	108946	34593
759	109075	34444
760	109206	34297
761	109364	34158
762	109476	34005
763	109601	33855
764	109751	33714
765	109903	33573
766	110076	33439
767	110229	33298
768	110359	33150
769	110527	33014
770	110651	32865
771	110819	32729
772	110953	32582
773	111098	32439
774	111233	32293
775	111393	32154
776	111524	32007
777	111670	31864
778	111804	31718
779	111957	31577
780	112109	31436
781	112269	31297
782	112414	31154
783	112557	31010
784	112715	30871
785	112849	30725
786	112977	30577
787	113117	30432
788	113260	30288
789	113384	30140
790	113503	29990
791	113657	29849
792	113782	29701
793	113924	29557
794	114071	29414
795	114207	29269
796	114328	29120
797	114458	28973
798	114599	28829
799	114753	28688
800	114890	28543
801	115059	28406
802	115205	28263
803	115338	28117
804	115478	27972
805	115611	27827
806	115751	27682
807	115916	27544
808	116060	27401
809	116201	27257
810	116344	27113
811	116472	26966
812	116621	26824
813	116752	26678
814	116909	26537
815	117057	26395
816	117203	26252
817	117318	26102
818	117450	25956
819	117602	25815
820	117751	25672
821	117878	25526
822	118011	25380
823	118139	25233
824	118295	25092
825	118427	24947
826	118552	24800
827	118680	24653
828	118808	24507
829	118964	24366
830	119092	24219
831	119233	24076
832	119384	23934
833	119552	23795
834	119701	23653
835	119847	23510
836	119969	23363
837	120103	23218
838	120255	23076
839	120387	22930
840	120511	22783
841	120647	22639
842	120799	22497
843	120960	22357
844	121120	22217
845	121268	22074
846	121400	21929
847	121527	21783
848	121654	21636
849	121782	21491
850	121940	21350
851	122071	21204
852	122196	21058
853	122327	20913
854	122467	20769
855	122608	20625
856	122725	20478
857	122853	20332
858	122989	20188
859	123162	20049
860	123282	19902
861	123423	19759
862	123577	19617
863	123747	19478
864	123898	19336
865	124037	19192
866	124161	19046
867	124285	18900
868	124417	18755
869	124549	18610
870	124681	18466
871	124821	18322
872	124971	18180
873	125163	18044
874	125355	17907
875	125503	17765
876	125638	17620
877	125793	17479
878	125929	17334
879	126077	17192
880	126219	17048
881	126335	16902
882	126506	16762
883	126632	16616
884	126763	16472
885	126929	16331
886	127064	16187
887	127221	16045
888	127360	15902
889	127490	15757
890	127639	15614
891	127784	15471
892	127913	15326
893	128058	15183
894	128206	15040
895	128368	14899
896	128511	14756
897	128638	14611
898	128789	14469
899	128948	14327
900	129096	14184
901	129255	14043
902	129411	13901
903	129567	13759
904	129696	13614
905	129825	13469
906	129971	13326
907	130132	13185
908	130266	13040
909	130397	12896
910	130517	12750
911	130637	12605
912	130792	12463
913	130923	12318
914	131059	12174
915	131219	12033
916	131356	11889
917	131506	11746
918	131628	11601
919	131769	11458
920	131915	11315
921	132070	11172
922	132191	11027
923	132350	10885
924	132476	10741
925	132604	10596
926	132738	10452
927	132870	10308
928	133004	10165
929	133167	10023
930	133302	9879
931	133454	9737
932	133581	9592
933	133716	9448
934	133844	9304
935	133994	9161
936	134110	9017
937	134285	8875
938	134436	8733
939	134616	8592
940	134742	8448
941	134917	8307
942	135041	8162
943	135179	8019
944	135315	7875
945	135450	7731
946	135598	7588
947	135734	7445
948	135912	7304
949	136077	7161
950	136215	7018
951	136357	6875
952	136512	6732
953	136673	6590
954	136826	6447
955	136971	6304
956	137129	6161
957	137277	6018
958	137453	5876
959	137592	5733
960	137740	5589
961	137921	5448
962	138084	5305
963	138218	5161
964	138372	5018
965	138507	4875
966	138669	4732
967	138822	4589
968	138973	4445
969	139148	4303
970	139284	4159
971	139478	4017
972	139610	3874
973	139772	3731
974	139920	3587
975	140066	3444
976	140234	3301
977	140371	3157
978	140530	3014
979	140685	2871
980	140808	2727
981	140933	2583
982	141080	2439
983	141232	2296
984	141376	2152
985	141514	2009
986	141661	1865
987	141818	1722
988	141979	1579
989	142129	1435
990	142258	1291
991	142410	1148
992	142545	1004
993	142692	861
994	142832	717
995	142965	574
996	143089	430
997	143205	286
998	143351	143
999	143480	0
